state,vehicle_category,count,source_file
Ladakh,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Maharashtra,Special Category Vehicles,26.0,RS_Session_256_AU_95_C.csv
Manipur,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Meghalaya,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Mizoram,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Nagaland,Special Category Vehicles,1.0,RS_Session_256_AU_95_C.csv
Odisha,Special Category Vehicles,25.0,RS_Session_256_AU_95_C.csv
Puducherry,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Punjab,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Rajasthan,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Sikkim,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Tamil Nadu,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Tripura,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Special Category Vehicles,7.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Special Category Vehicles,2.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
West Bengal,Special Category Vehicles,,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Assam,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Bihar,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Chandigarh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Chhattisgarh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Delhi,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Goa,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Gujarat,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Haryana,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Jharkhand,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Karnataka,Ambulance/Hearses,1.0,RS_Session_256_AU_95_C.csv
Kerala,Ambulance/Hearses,1.0,RS_Session_256_AU_95_C.csv
Ladakh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Maharashtra,Ambulance/Hearses,1.0,RS_Session_256_AU_95_C.csv
Manipur,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Meghalaya,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Mizoram,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Nagaland,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Odisha,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Puducherry,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Punjab,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Rajasthan,Ambulance/Hearses,1.0,RS_Session_256_AU_95_C.csv
Sikkim,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Tamil Nadu,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Tripura,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
Uttarakhand,Ambulance/Hearses,,RS_Session_256_AU_95_C.csv
West Bengal,Ambulance/Hearses,2.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Assam,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Bihar,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Chandigarh,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Chhattisgarh,Construction Equipment Vehicle,368.0,RS_Session_256_AU_95_C.csv
Delhi,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Goa,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Gujarat,Construction Equipment Vehicle,26.0,RS_Session_256_AU_95_C.csv
Haryana,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Jharkhand,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Karnataka,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Kerala,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Ladakh,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Maharashtra,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Manipur,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Meghalaya,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Mizoram,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Nagaland,Construction Equipment Vehicle,1.0,RS_Session_256_AU_95_C.csv
Odisha,Construction Equipment Vehicle,1.0,RS_Session_256_AU_95_C.csv
Puducherry,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Punjab,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Rajasthan,Construction Equipment Vehicle,1.0,RS_Session_256_AU_95_C.csv
Sikkim,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Tamil Nadu,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Tripura,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Uttarakhand,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
West Bengal,Construction Equipment Vehicle,,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Other,7.0,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Other,1.0,RS_Session_256_AU_95_C.csv
Assam,Other,2.0,RS_Session_256_AU_95_C.csv
Bihar,Other,8.0,RS_Session_256_AU_95_C.csv
Chandigarh,Other,1.0,RS_Session_256_AU_95_C.csv
Chhattisgarh,Other,100.0,RS_Session_256_AU_95_C.csv
Delhi,Other,1602.0,RS_Session_256_AU_95_C.csv
Goa,Other,4.0,RS_Session_256_AU_95_C.csv
Gujarat,Other,77.0,RS_Session_256_AU_95_C.csv
Haryana,Other,90.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Other,46.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Other,8.0,RS_Session_256_AU_95_C.csv
Jharkhand,Other,57.0,RS_Session_256_AU_95_C.csv
Karnataka,Other,1420.0,RS_Session_256_AU_95_C.csv
Kerala,Other,17.0,RS_Session_256_AU_95_C.csv
Ladakh,Other,,RS_Session_256_AU_95_C.csv
Maharashtra,Other,601.0,RS_Session_256_AU_95_C.csv
Manipur,Other,1.0,RS_Session_256_AU_95_C.csv
Meghalaya,Other,,RS_Session_256_AU_95_C.csv
Mizoram,Other,3.0,RS_Session_256_AU_95_C.csv
Nagaland,Other,1.0,RS_Session_256_AU_95_C.csv
Odisha,Other,23.0,RS_Session_256_AU_95_C.csv
Puducherry,Other,,RS_Session_256_AU_95_C.csv
Punjab,Other,21.0,RS_Session_256_AU_95_C.csv
Rajasthan,Other,24.0,RS_Session_256_AU_95_C.csv
Sikkim,Other,9.0,RS_Session_256_AU_95_C.csv
Tamil Nadu,Other,193.0,RS_Session_256_AU_95_C.csv
Tripura,Other,1.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Other,,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Other,13.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Other,21.0,RS_Session_256_AU_95_C.csv
West Bengal,Other,61.0,RS_Session_256_AU_95_C.csv
