state,vehicle_type_code,count,source_file
Andaman and Nicobar Island,3WT,30.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,3WT,108.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,3WT,,RS_Session_258_AU_91_1.csv
Assam,3WT,79661.0,RS_Session_258_AU_91_1.csv
Bihar,3WT,96560.0,RS_Session_258_AU_91_1.csv
Chandigarh,3WT,2683.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,3WT,9865.0,RS_Session_258_AU_91_1.csv
Delhi,3WT,130429.0,RS_Session_258_AU_91_1.csv
Goa,3WT,55.0,RS_Session_258_AU_91_1.csv
Gujarat,3WT,2964.0,RS_Session_258_AU_91_1.csv
Haryana,3WT,29699.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,3WT,183.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,3WT,2148.0,RS_Session_258_AU_91_1.csv
Jharkhand,3WT,14407.0,RS_Session_258_AU_91_1.csv
Karnataka,3WT,7105.0,RS_Session_258_AU_91_1.csv
Kerala,3WT,4008.0,RS_Session_258_AU_91_1.csv
Ladakh,3WT,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,3WT,,RS_Session_258_AU_91_1.csv
Maharashtra,3WT,11334.0,RS_Session_258_AU_91_1.csv
Manipur,3WT,610.0,RS_Session_258_AU_91_1.csv
Meghalaya,3WT,7.0,RS_Session_258_AU_91_1.csv
Mizoram,3WT,1.0,RS_Session_258_AU_91_1.csv
Nagaland,3WT,,RS_Session_258_AU_91_1.csv
Odisha,3WT,3638.0,RS_Session_258_AU_91_1.csv
Puducherry,3WT,49.0,RS_Session_258_AU_91_1.csv
Punjab,3WT,8101.0,RS_Session_258_AU_91_1.csv
Rajasthan,3WT,48898.0,RS_Session_258_AU_91_1.csv
Sikkim,3WT,,RS_Session_258_AU_91_1.csv
Tamil Nadu,3WT,6885.0,RS_Session_258_AU_91_1.csv
Tripura,3WT,10708.0,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,3WT,56.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,3WT,375595.0,RS_Session_258_AU_91_1.csv
Uttarakhand,3WT,30122.0,RS_Session_258_AU_91_1.csv
West Bengal,3WT,42372.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,LMV,86.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,LMV,1050.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,LMV,6.0,RS_Session_258_AU_91_1.csv
Assam,LMV,233.0,RS_Session_258_AU_91_1.csv
Bihar,LMV,231.0,RS_Session_258_AU_91_1.csv
Chandigarh,LMV,391.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,LMV,396.0,RS_Session_258_AU_91_1.csv
Delhi,LMV,5796.0,RS_Session_258_AU_91_1.csv
Goa,LMV,861.0,RS_Session_258_AU_91_1.csv
Gujarat,LMV,3926.0,RS_Session_258_AU_91_1.csv
Haryana,LMV,425.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,LMV,69.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,LMV,55.0,RS_Session_258_AU_91_1.csv
Jharkhand,LMV,212.0,RS_Session_258_AU_91_1.csv
Karnataka,LMV,9265.0,RS_Session_258_AU_91_1.csv
Kerala,LMV,5746.0,RS_Session_258_AU_91_1.csv
Ladakh,LMV,10.0,RS_Session_258_AU_91_1.csv
Madhya Pradesh,LMV,169.0,RS_Session_258_AU_91_1.csv
Maharashtra,LMV,15583.0,RS_Session_258_AU_91_1.csv
Manipur,LMV,4.0,RS_Session_258_AU_91_1.csv
Meghalaya,LMV,20.0,RS_Session_258_AU_91_1.csv
Mizoram,LMV,3.0,RS_Session_258_AU_91_1.csv
Nagaland,LMV,6.0,RS_Session_258_AU_91_1.csv
Odisha,LMV,468.0,RS_Session_258_AU_91_1.csv
Puducherry,LMV,97.0,RS_Session_258_AU_91_1.csv
Punjab,LMV,148.0,RS_Session_258_AU_91_1.csv
Rajasthan,LMV,2026.0,RS_Session_258_AU_91_1.csv
Sikkim,LMV,10.0,RS_Session_258_AU_91_1.csv
Tamil Nadu,LMV,4101.0,RS_Session_258_AU_91_1.csv
Tripura,LMV,11.0,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,LMV,31.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,LMV,518.0,RS_Session_258_AU_91_1.csv
Uttarakhand,LMV,469.0,RS_Session_258_AU_91_1.csv
West Bengal,LMV,1305.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,LPV,6.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,LPV,3.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,LPV,1.0,RS_Session_258_AU_91_1.csv
Assam,LPV,5.0,RS_Session_258_AU_91_1.csv
Bihar,LPV,8.0,RS_Session_258_AU_91_1.csv
Chandigarh,LPV,2.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,LPV,44.0,RS_Session_258_AU_91_1.csv
Delhi,LPV,3415.0,RS_Session_258_AU_91_1.csv
Goa,LPV,4.0,RS_Session_258_AU_91_1.csv
Gujarat,LPV,91.0,RS_Session_258_AU_91_1.csv
Haryana,LPV,478.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,LPV,56.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,LPV,9.0,RS_Session_258_AU_91_1.csv
Jharkhand,LPV,99.0,RS_Session_258_AU_91_1.csv
Karnataka,LPV,2160.0,RS_Session_258_AU_91_1.csv
Kerala,LPV,47.0,RS_Session_258_AU_91_1.csv
Ladakh,LPV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,LPV,,RS_Session_258_AU_91_1.csv
Maharashtra,LPV,954.0,RS_Session_258_AU_91_1.csv
Manipur,LPV,1.0,RS_Session_258_AU_91_1.csv
Meghalaya,LPV,,RS_Session_258_AU_91_1.csv
Mizoram,LPV,4.0,RS_Session_258_AU_91_1.csv
Nagaland,LPV,1.0,RS_Session_258_AU_91_1.csv
Odisha,LPV,44.0,RS_Session_258_AU_91_1.csv
Puducherry,LPV,36.0,RS_Session_258_AU_91_1.csv
Punjab,LPV,18.0,RS_Session_258_AU_91_1.csv
Rajasthan,LPV,58.0,RS_Session_258_AU_91_1.csv
Sikkim,LPV,9.0,RS_Session_258_AU_91_1.csv
Tamil Nadu,LPV,203.0,RS_Session_258_AU_91_1.csv
Tripura,LPV,1.0,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,LPV,1.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,LPV,34.0,RS_Session_258_AU_91_1.csv
Uttarakhand,LPV,36.0,RS_Session_258_AU_91_1.csv
West Bengal,LPV,188.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,LGV,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,LGV,166.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,LGV,,RS_Session_258_AU_91_1.csv
Assam,LGV,15.0,RS_Session_258_AU_91_1.csv
Bihar,LGV,21.0,RS_Session_258_AU_91_1.csv
Chandigarh,LGV,,RS_Session_258_AU_91_1.csv
Chhattisgarh,LGV,1070.0,RS_Session_258_AU_91_1.csv
Delhi,LGV,50.0,RS_Session_258_AU_91_1.csv
Goa,LGV,25.0,RS_Session_258_AU_91_1.csv
Gujarat,LGV,51.0,RS_Session_258_AU_91_1.csv
Haryana,LGV,118.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,LGV,2.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,LGV,4.0,RS_Session_258_AU_91_1.csv
Jharkhand,LGV,11.0,RS_Session_258_AU_91_1.csv
Karnataka,LGV,103.0,RS_Session_258_AU_91_1.csv
Kerala,LGV,37.0,RS_Session_258_AU_91_1.csv
Ladakh,LGV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,LGV,,RS_Session_258_AU_91_1.csv
Maharashtra,LGV,49.0,RS_Session_258_AU_91_1.csv
Manipur,LGV,,RS_Session_258_AU_91_1.csv
Meghalaya,LGV,2.0,RS_Session_258_AU_91_1.csv
Mizoram,LGV,,RS_Session_258_AU_91_1.csv
Nagaland,LGV,,RS_Session_258_AU_91_1.csv
Odisha,LGV,35.0,RS_Session_258_AU_91_1.csv
Puducherry,LGV,9.0,RS_Session_258_AU_91_1.csv
Punjab,LGV,34.0,RS_Session_258_AU_91_1.csv
Rajasthan,LGV,19.0,RS_Session_258_AU_91_1.csv
Sikkim,LGV,,RS_Session_258_AU_91_1.csv
Tamil Nadu,LGV,1406.0,RS_Session_258_AU_91_1.csv
Tripura,LGV,8.0,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,LGV,2.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,LGV,81.0,RS_Session_258_AU_91_1.csv
Uttarakhand,LGV,1.0,RS_Session_258_AU_91_1.csv
West Bengal,LGV,20.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,4WIC,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,4WIC,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,4WIC,,RS_Session_258_AU_91_1.csv
Assam,4WIC,,RS_Session_258_AU_91_1.csv
Bihar,4WIC,1.0,RS_Session_258_AU_91_1.csv
Chandigarh,4WIC,,RS_Session_258_AU_91_1.csv
Chhattisgarh,4WIC,,RS_Session_258_AU_91_1.csv
Delhi,4WIC,4.0,RS_Session_258_AU_91_1.csv
Goa,4WIC,,RS_Session_258_AU_91_1.csv
Gujarat,4WIC,6.0,RS_Session_258_AU_91_1.csv
Haryana,4WIC,,RS_Session_258_AU_91_1.csv
Himachal Pradesh,4WIC,,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,4WIC,,RS_Session_258_AU_91_1.csv
